NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
A-Cold 4 mg/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.12,,40.12,,,,0,,,,,,,Bromhexine Hydrochloride,4 mg/5 ml,,,0,
A-Cof (10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,,,0,
A-Clox 500 mg/vial,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,28.43,,28.43,,,,0,,,,,,,Cloxacillin Sodium,500 mg/vial,,,0,
A-Clox 250 mg/vial,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Cloxacillin Sodium,250 mg/vial,,,0,
A-Clox 125 mg/5 ml,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Cloxacillin Sodium,125 mg/5 ml,,,0,
A-Clox 500 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.98,,5.98,,,,0,,,,,,,Cloxacillin Sodium,500 mg,,,0,
A-Care 6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,,,0,
A-Card 20 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.43,,1.43,,,,0,,,,,,,Isosorbide Mononitrate,20 mg,,,0,
A-Calm 50 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Tolperisone Hydrochloride,50 mg,,,0,
A-Cal DX 500 mg+400 IU,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.50,,7.50,,,,0,,,,,,,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,,,0,
A-Cal D 500 mg+200 IU,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.50,,6.50,,,,0,,,,,,,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,,,0,
A-Cal 500 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Calcium Carbonate,500 mg,,,0,
A-B1 100 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.86,,0.86,,,,0,,,,,,,Thiamine Hydrochloride,100 mg,,,0,
5X 30 mg,Renata Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,200.00,,200.00,,,,0,,,,,,,Ulipristal Acetate [For emergency contraception],30 mg,,,0,
